algorithm,input_type,n,avg_time_sec
Merge Sort,nearly_sorted,500,0.0007541909999986274
Merge Sort,nearly_sorted,1000,0.0016703464000016766
Merge Sort,nearly_sorted,2000,0.003454783599997313
Merge Sort,nearly_sorted,5000,0.010682499200001416
Merge Sort,nearly_sorted,10000,0.021665717999997013
Heap Sort,random,100,0.00014177119999772003
Heap Sort,random,500,0.0008724806000032004
Heap Sort,random,1000,0.001995393800001466
Heap Sort,random,2000,0.0046598338000023885
Heap Sort,random,5000,0.013505395800001452
Heap Sort,random,10000,0.02976704419999976
Heap Sort,sorted,100,0.0001540941999962797
Heap Sort,sorted,500,0.0009505274000019881
Heap Sort,sorted,1000,0.002148186799996665
Heap Sort,sorted,2000,0.004773720800002934
Heap Sort,sorted,5000,0.014510904199997298
Heap Sort,sorted,10000,0.030471762999997053
Heap Sort,reverse_sorted,100,0.00012175700000511824
Heap Sort,reverse_sorted,500,0.0007986256000009461
Heap Sort,reverse_sorted,1000,0.0017992366000015637
Heap Sort,reverse_sorted,2000,0.004170848999996224
Heap Sort,reverse_sorted,5000,0.012075455000001512
Heap Sort,reverse_sorted,10000,0.026901626799997302
Heap Sort,nearly_sorted,100,0.0001446529999981294
Heap Sort,nearly_sorted,500,0.0009650331999978334
Heap Sort,nearly_sorted,1000,0.0021372046000038836
Heap Sort,nearly_sorted,2000,0.004820765400000937
Heap Sort,nearly_sorted,5000,0.013865645199999221
Heap Sort,nearly_sorted,10000,0.030863092400002755
Quick Sort,random,100,6.946460000278876e-05
Quick Sort,random,500,0.00040891979999742035
Quick Sort,random,1000,0.0009525088000003734
Quick Sort,random,2000,0.002142241999999328
Quick Sort,random,5000,0.006004351600003588
Quick Sort,random,10000,0.01295780140000602
Quick Sort,sorted,100,7.018999999957032e-05
Quick Sort,sorted,500,0.00036739180000324725
Quick Sort,sorted,1000,0.0007870832000037353
Quick Sort,sorted,2000,0.0017579492000010077
Quick Sort,sorted,5000,0.005148335399996995
Quick Sort,sorted,10000,0.01095753999999829
Quick Sort,reverse_sorted,100,0.00010323899999775676
Quick Sort,reverse_sorted,500,0.0005194337999967046
Quick Sort,reverse_sorted,1000,0.0012170402000009517
Quick Sort,reverse_sorted,2000,0.0033563319999984744
Quick Sort,reverse_sorted,5000,0.008357351400002244
Quick Sort,reverse_sorted,10000,0.018286482999997133
Quick Sort,nearly_sorted,100,6.878139999741962e-05
Quick Sort,nearly_sorted,500,0.0004110291999978699
Quick Sort,nearly_sorted,1000,0.0009994981999994935
Quick Sort,nearly_sorted,2000,0.0022251857999947334
Quick Sort,nearly_sorted,5000,0.0066680891999993715
Quick Sort,nearly_sorted,10000,0.013793917399996757
Counting Sort,random,100,0.0001988608000004888
Counting Sort,random,500,0.0010960485999987669
Counting Sort,random,1000,0.0018037485999940373
Counting Sort,random,2000,0.003621432600002095
Counting Sort,random,5000,0.009034842199997683
Counting Sort,random,10000,0.0186209778000034
Counting Sort,sorted,100,3.0394999996019578e-05
Counting Sort,sorted,500,0.0001460229999963758
Counting Sort,sorted,1000,0.0002801766000004591
Counting Sort,sorted,2000,0.0005859685999979547
Counting Sort,sorted,5000,0.0014099206000025787
Counting Sort,sorted,10000,0.002821806400001492
Counting Sort,reverse_sorted,100,3.505760000450664e-05
Counting Sort,reverse_sorted,500,0.0001497223999990638
Counting Sort,reverse_sorted,1000,0.0002848256000021365
